iter	Logloss
0	0.6908963013
1	0.6893534851
2	0.6891842651
3	0.6891090393
4	0.6889981842
5	0.6888004303
6	0.6882003784
7	0.6864601135
8	0.6861068726
9	0.6861062622
10	0.6851039124
11	0.6849157715
12	0.6847423553
13	0.6846155548
14	0.6837255859
15	0.6828727722
16	0.6810417175
17	0.6805032349
18	0.6798320007
19	0.6796591187
20	0.6793352509
21	0.6776402283
22	0.6754563904
23	0.6753821564
24	0.6745413208
25	0.6741403198
26	0.6739451599
27	0.6730757141
28	0.6711933899
29	0.6707849121
30	0.6704660034
31	0.6694580841
32	0.6693500519
33	0.6690817261
34	0.668729248
35	0.6685986328
36	0.6680853271
37	0.6680079651
38	0.6679774475
39	0.6660552979
40	0.6653427124
41	0.6647155762
42	0.6640895081
43	0.6631508636
44	0.6626921082
45	0.6622631836
46	0.662114563
47	0.6612078857
48	0.6601982117
49	0.6600079346
50	0.6593452454
51	0.6582322693
52	0.6582157898
53	0.6581654358
54	0.6574124146
55	0.6573851013
56	0.6566273499
57	0.656471405
58	0.655772934
59	0.6555014038
60	0.6543226624
61	0.6541483307
62	0.6535781097
63	0.6534129333
64	0.6531739807
65	0.6529305267
66	0.6528842926
67	0.6515846252
68	0.6507989502
69	0.650355072
70	0.6503242493
71	0.650218811
72	0.6502116394
73	0.6499316406
74	0.6498580933
75	0.6496672821
76	0.6483360291
77	0.6473651123
78	0.6469406128
79	0.6468103027
80	0.646686554
81	0.6461698151
82	0.6460178375
83	0.6459514618
84	0.6458531189
85	0.6458182526
86	0.6448573303
87	0.6447917175
88	0.6440908051
89	0.6438179779
90	0.6433057404
91	0.6422929382
92	0.6419999695
93	0.6415181732
94	0.6411218262
95	0.640583725
96	0.6403861237
97	0.6402568817
98	0.6401593018
99	0.6396205902
