iter	Passed	Remaining
0	0	94
1	1	54
2	1	41
3	1	35
4	1	31
5	1	28
6	2	26
7	2	25
8	2	23
9	2	22
10	2	21
11	2	20
12	2	20
13	3	19
14	3	18
15	3	18
16	3	17
17	3	17
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	14
28	5	13
29	5	13
30	5	13
31	6	13
32	6	12
33	6	12
34	6	12
35	6	12
36	7	12
37	7	11
38	7	11
39	7	11
40	7	11
41	7	10
42	8	10
43	8	10
44	8	10
45	8	10
46	8	9
47	8	9
48	9	9
49	9	9
50	9	9
51	9	8
52	9	8
53	10	8
54	10	8
55	10	8
56	10	7
57	10	7
58	10	7
59	11	7
60	11	7
61	11	7
62	11	6
63	11	6
64	11	6
65	12	6
66	12	6
67	12	5
68	12	5
69	12	5
70	12	5
71	13	5
72	13	4
73	13	4
74	13	4
75	13	4
76	14	4
77	14	4
78	14	3
79	14	3
80	14	3
81	14	3
82	15	3
83	15	2
84	15	2
85	15	2
86	15	2
87	15	2
88	16	1
89	16	1
90	16	1
91	16	1
92	16	1
93	16	1
94	17	0
95	17	0
96	17	0
97	17	0
98	17	0
99	18	0
